     ____
    / _  |   Frida 17.17.0 - A world-class dynamic instrumentation toolkit
   | (_| |
    > _  |   Commands:
   /_/ |_|       help      -> Displays the help system
   . . . .       object?   -> Display information about 'object'
   . . . .       exit/quit -> Exit
   . . . .
   . . . .   Prefer a GUI? Luma is the official Frida app, with a live REPL,
   . . . .   persistent sessions & collaboration. https://luma.frida.re/
   . . . .
   . . . .   Connected to iPhone (id=00008150-00093DA00ABB401C)
Spawning `com.oceanwing.SoundCore.G8AW4BQ7RV`...

==================== PROCESS ====================
frida       : 17.17.0
pid / arch  : 6592 / arm64
page size   : 16384
objc avail  : true

==================== MODULES OF INTEREST ====================
    CUMessageRequestEntry
    CUReadRequest
    CUTNetworkInterfaceListener
    CUVoiceRequest
    CUWriteRequest
    CVABackgroundRequestImplBase
    CVABackgroundRequestImplOpaque
    CVABackgroundRequestImplSDOF
    CVABackgroundRequestImplSourceImage
    CVADisparityPostprocessingRequest
    CVALightRequestImplBase
    CVALightRequestImplContour
    CVALightRequestImplStudio
    CVAMattingRequest
    CVAPortraitGenericRequestCubeImpl
    CVAPortraitGenericRequestImpl
    CVAPortraitRequest
    CVAPortraitRequest_StageLight
    CVAPostProcessingRequestImplColorCube
    CVNLPTextDecodingToken
    CVNLPTokenIDConverter
    CVNLPVisionRequestHandler
    CWFAutoJoinRequest
    CWFBackgroundScanNetwork
    CWFKnownNetworkPreparer
    CWFLocalNetworkDevice
    CWFLocalNetworkFilteredName
    CWFNearbySyncNetwork
    CWFNetworkDenyList
    CWFNetworkDenyListInfo
    CWFNetworkDenyListItem
    CWFNetworkOfInterestManager
    CWFNetworkProfile
    CWFNetworkSignature
    CWFRemoteInterfaceNetworkInfo
    CWFRequestParameters
    CWFSCNetworkConfiguration
    CWFSCNetworkInterface
    CWFSCNetworkReachability
    CWFSCNetworkService
    CWFWiFiNetworkSharingAskToShareNetwork
    CWFWiFiNetworkSharingAskToShareScanResult
    CWFWiFiNetworkSharingClientID
    CWFWiFiNetworkSharingConnectedAP
    CWFWiFiNetworkSharingConnectedAPLink
    CWFWiFiNetworkSharingConnectedAPUpdate
    CWFWiFiNetworkSharingEAPCredentials
    CWFWiFiNetworkSharingEventID
    CWFWiFiNetworkSharingManager
    CWFWiFiNetworkSharingNetwork
    CWFWiFiNetworkSharingNetworkID
    CWFWiFiNetworkSharingNetworkListUpdate
    CWFWiFiNetworkSharingNetworkMetadata
    CWFWiFiNetworkSharingStore
    CWFWiFiNetworkSharingUtil
    CWFXPCRequest
    CWFXPCRequestProxy
    CXCallTokens
    CXNetworkExtensionMessageController
    CXNetworkExtensionMessageControllerHost
    CXNetworkExtensionMessageControllerHostConnection
    CXNetworkExtensionMessageControllerXPCClient
    CXScreenSharingRequestMetadata
    CachedShouldRequestWGS84Elevations
    CalCancellationTokenSource
    CalDAVCalendarInfoTaskGroup
    CalSignalSensor
    CalculateRequest
    CalculateScanRequest
    CalculateToken
    CalculateTokenizer
    CalendarLinkSpotlightEntityAnnotator
    CardDAVFolderInfoTaskGroup
    ChronoServices.ControlSessionSubscriptionRequest
    CipherML.AMSNetworking
    CipherML.ActiveUseCaseTracker
    CipherML.AllowList
    CipherML.AspireNetworkManager
    CipherML.CMLXPCServer
    CipherML.Cache
    CipherML.CacheCleaner
    CipherML.ConfigTable
    CipherML.EvaluationKeyConfigTable
    CipherML.KVSKeyStorage
    CipherML.KeyRotation
    CipherML.ManagedURLSession
    CipherML.NetworkManagerHelper
    CipherML.PegasusNetworking
    CipherML.RequestsManager
    CipherML.RotationTask
    CipherML.SendableBGSystemTask
    CipherML.SqliteCache
    CipherML.StoredConfig
    CipherML.StoredEvaluationKeyConfig
    CipherML.TokenCache
    CipherML.TokenFetcherTask
    CipherML.WorkAroundForIdleMemory
    CipherML.XPCHandler
    CloudAsset.LoadingRequestHandler
    CloudKit.ChunkDataDecryptor
    CloudSubscriptionFeatures.FeatureRequestHandler
    CloudTelemetryTools.RequestOptions
    Coherence.Upgrade4to5
    Coherence.UpgradeKeyPaths
    ContactsFoundation.CNDataEncryptor
    ContactsUI.CNContactHeaderQuickActionsModel
    ContactsUI.CNTipHeaderView
    ContactsUI.ContactHeaderAppearance
    ContactsUICore.ContactCardHeaderSwiftUIViewModel
    ContactsUICore.ContactHeaderAppearance
    ContactsUICore.UserInputRequestCoordinator
    CopresenceCore.GroupSessionDataCryptorProvider
    CopresenceCore.OnceToken
    CopresenceCore.TransparentTopicCryptorProvider
    CoreCryptoP256Private
    CoreDAVBulkRequestsItem
    CoreDAVBulkRequestsSetItem
    CoreDAVBulkRequestsSupportedItem
    CoreDAVContainerInfoTaskGroup
    CoreDAVICloudQuotaItem
    CoreDAVRequestLogger
    CoreIDCred.XPCCredentialPresentmentRequest
    CoreIDV.DigitalPresentmentRequest
    CoreIDV.XPCAuditToken
    CoreIDV.XPCMobileDocumentProviderRegistrationRequest
    CoreIDV.XPCMobileDocumentProviderUnregisterRequest
    CoreIDV.XPCMobileDocumentReaderCertificateRequest
    CoreIDV.XPCMobileDocumentReaderIdentityKeyRequest
    CoreIDV.XPCMobileDocumentReaderRequest
    CoreIDVShared.APDURequest
    CoreIDVShared.NetworkMonitor
    CoreIDVShared.XPCMobileDocumentProviderPresentmentRequest
    CoreIDVShared.XPCPartialWebPresentmentRequest
    CoreIDVShared.XPCWebPresentmentRequest
    CoreODIEssentials.DIPAppleWebRequest
    CoreODIEssentials.DIPCryptoKeychain
    CoreODIEssentials.DIPWebRequest
    CoreODIEssentials.RequestHeader
    CoreWiFi.WINetworkSharingController
    CoreWiFi.WINetworkSharingProvider
    CoreWiFi.WINetworkSharingUtil
    CryptoKit.Drbg
    CryptoKit.Rng
    CryptoKit.SequenceDrbg
    CryptoKitPrivate.ARCAwaitingActivationWrapper
    CryptoKitPrivate.ARCCredentialWrapper
    CryptoKitPrivate.ARCPresentationWrapper
    CryptoKitPrivate.ARCServer
    CryptoKitPrivate.ATHMClient
    CryptoKitPrivate.ATHMKeyCommitments
    CryptoKitPrivate.ATHMServer
    CryptoKitPrivate.AlishaSPAKE2Prover
    CryptoKitPrivate.AlishaSPAKE2ProverConfirmed
    CryptoKitPrivate.CKPIETFKeyBlinding
    CryptoKitPrivate.Drbg
    CryptoKitPrivate.RSAPSSSPKI_Bridging
    CryptoKitPrivate.Rng
    CryptoKitPrivate.Scrypt
    CryptoKitPrivate.SequenceDrbg
    CryptoKitPrivate.TDMClient
    CryptoKitPrivate.TDMServer
    CryptoKitPrivate.TDMServerEvaluation
    DAAccountUpgrader
    DAAlishaKeyEncryptedRequest
    DADraftMessageRequest
    DAKeyBindingAttestationRequestData
    DAKeyInvitationRequestConfig
    DAKeyPairingConfig
    DAKeyPairingSession
    DAMailboxDeleteMessageRequest
    DAMailboxFetchMessageRequest
    DAMailboxFetchSearchResultRequest
    DAMailboxGetUpdatesRequest
    DAMailboxRequest
    DAMailboxSetFlagsRequest
    DAMessageFetchAttachmentRequest
    DAMessageMoveRequest
    DAPriorityRequest
    DAResolveRecipientsRequest
    DASharingSecondFactorRequestConfiguration
    DCCredentialAuthorizationToken
    DCCredentialCryptoKey
    DCCredentialCryptoKeyInfo
    DCDocumentCameraViewServiceSessionRequest
    DCPresentmentRequest
    DCPresentmentRequestedElement
    DDMLToken
    DDMLTokenType
    DEAnnotatedGroup
    DEAnnotation
    DEDAEAEncryptor
    DEDEncryptorFactory
    DEDHealthLogsEncryptor
    DEDRequestAdvertiser
    DEDRequestRecord
    DEDSeedingFilerToken
    DEPDeviceUploadRequestType
    DEPDeviceUploadSubmitDeviceRequestPayload
    DGActivityIndicatorBallClipRotateAnimation
    DGActivityIndicatorBallClipRotateMultipleAnimation
    DGActivityIndicatorBallClipRotatePulseAnimation
    DGActivityIndicatorBallRotateAnimation
    DGActivityIndicatorRotatingSandglassAnimation
    DGActivityIndicatorRotatingSquaresAnimation
    DGActivityIndicatorRotatingTrigonAnimation
    DIIdentityRequest
    DIPStreamingCryptor
    DMCHTTPRequestor
    DMCNetworkMonitor
    DMFActivityTransactionRequest
    DMFAppRequest
    DMFAssignUserRequest
    DMFBatchRequestOperation
    DMFBeginTransactionRequest
    DMFClearActivationLockBypassCodeRequest
    DMFClearRestrictionsPasswordRequest
    DMFCreateConfigurationOrganizationRequest
    DMFDDMStartManagingAppRequest
    DMFDeactivateConfigurationOrganizationRequest
    DMFDeleteUserRequest
    DMFDevicePropertyNotificationSubscriptionRequest
    DMFDisableLostModeRequest
    DMFEchoRequest
    DMFEnableLostModeRequest
    DMFEndTransactionRequest
    DMFFetchActivationLockBypassCodeRequest
    DMFFetchAppInfoRequest
    DMFFetchApplicationsRequest
    DMFFetchAppsRequest
    DMFFetchAvailableOSUpdatesRequest
    DMFFetchCertificatesRequest
    DMFFetchClassroomInstructorEndpointRequest
    DMFFetchConfigurationOrganizationsRequest
    DMFFetchConfigurationSourceSyncTokenRequest
    DMFFetchConfigurationSourceSyncTokenResultObject
    DMFFetchControlGroupIdentifiersRequest
    DMFFetchDMDStateRequest
    DMFFetchDeclarationCapabilitiesRequest
    DMFFetchDeclarationsRequest
    DMFFetchDevicePropertiesRequest
    DMFFetchGlobalRestrictionsRequest
    DMFFetchInstalledApplicationsRequest
    DMFFetchInstalledCertificatesRequest
    DMFFetchInstalledProfilesRequest
    DMFFetchInstalledProvisioningProfilesRequest
    DMFFetchLastLoginDateRequest
    DMFFetchLocationRequest
    DMFFetchManagedBooksRequest
    DMFFetchOSUpdateStatusRequest
    DMFFetchProfilesRequest
    DMFFetchProvisioningProfilesRequest
    DMFFetchRestrictionsRequest
    DMFFetchSafariBookmarksRequest
    DMFFetchScreenshotRequest
    DMFFetchSecurityInformationRequest
    DMFFetchStreamEventsRequest
    DMFFetchUsersRequest
    DMFInstallAppRequest
    DMFInstallConfigurationRequest
    DMFInstallManagedBookRequest
    DMFInstallProfileRequest
    DMFInstallProvisioningProfileRequest
    DMFInviteUserToVPPRequest
    DMFJoinControlGroupRequest
    DMFLeaveControlGroupRequest
    DMFLockDeviceRequest
    DMFLogOutUserRequest
    DMFLogoutUserRequest
    DMFMDMv1InstallAppRequest
    DMFMDMv1StartManagingAppRequest
    DMFMDMv1UpdateAppRequest
    DMFManagementLockRequest
    DMFManagementUnlockRequest
    DMFOpenAppRequest
    DMFOpenURLRequest
    DMFPlayLostModeSoundRequest
    DMFProcessDeclarationsRequest
    DMFProcessStatusRequest
    DMFRefreshCellularPlansRequest
    DMFRefreshStatusRequest
    DMFRegisterConfigurationSourceRequest
    DMFRemoveAppRequest
    DMFRemoveConfigurationRequest
    DMFRemoveManagedBookRequest
    DMFRemoveOSUpdateRequest
    DMFRemoveProfileRequest
    DMFRemoveProtectedProfileRequest
    DMFRemoveProvisioningProfileRequest
    DMFRequestAirPlayMirroringRequest
    DMFRequestAirPlayMirroringResultObject
    DMFRestartDeviceRequest
    DMFScheduleOSUpdateRequest
    DMFSendEventRequest
    DMFSetAirPlayRouteRequest
    DMFSetAppAllowUserToHideRequest
    DMFSetAppAllowUserToLockRequest
    DMFSetAppAnalyticsEnabledRequest
    DMFSetAppAssociatedDomainsEnableDirectDownloadsRequest
    DMFSetAppAssociatedDomainsRequest
    DMFSetAppCellularSliceUUIDRequest
    DMFSetAppConfigurationRequest
    DMFSetAppExtensionUUIDsRequest
    DMFSetAppRemovabilityRequest
    DMFSetAppTapToPayScreenLockRequest
    DMFSetAppVPNUUIDRequest
    DMFSetBluetoothEnabledRequest
    DMFSetDataRoamingEnabledRequest
    DMFSetDeclarationsRequest
    DMFSetDeviceNameRequest
    DMFSetDiagnosticSubmissionEnabledRequest
    DMFSetInterfaceOrientationRequest
    DMFSetMaximumResidentUsersRequest
    DMFSetPasscodeLockGracePeriodRequest
    DMFSetPersonalHotspotEnabledRequest
    DMFSetVoiceRoamingEnabledRequest
    DMFSetVolumeRequest
    DMFShutDownDeviceRequest
    DMFStartAppLockRequest
    DMFStopAirPlayMirroringRequest
    DMFStopAppLockRequest
    DMFStopManagingAppRequest
    DMFStopManagingBooksRequest
    DMFTaskRequest
    DMFTriggerDiagnosticsRequest
    DMFUpdateAppAttributesRequest
    DMFUpdateAppRequest
    DMFUpdateDeclarationsRequest
    DMFUpdateEnqueuedCommandsRequest
    DMFUpdatePickableAirPlayRoutesRequest
    DMFValidateApplicationsRequest
    DNDModeAssertionUserRequestedLifetime
    DNDRequestDetails
    DODMLASRSchemaDODMLASRTokenInfo
    DOMTokenList
    DesignLibrary.SegmentedControlDragTrackingInfo
    DesignLibrary._ImpossibleActor
    Doraemon.CINetworkHelper
    DriverManagement.ApprovalStateUpdateRequest
    EARSpeechRecognitionToken
    EARTokenPronounciations
    ECAppleToken2AuthScheme
    ECAppleTokenAuthScheme
    ECDKIMCryptoUtil
    ECDKIMMessageHeader
    ECHeaderAuthenticationResultProperty
    ECHeaderAuthenticationResultStatement
    ECHeaderAuthenticationResults
    ECRawMessageHeader
    ECRawMessageHeaders
    ECSignatureInfo
    EDAddBrandIndicatorEvidenceTableUpgradeStep
    EDAddBrandIndicatorsTableUpgradeStep
    EDAddBusinessAddressesTableCategoryColumnUpgradeStep
    EDAddBusinessColumnsUpgradeStep
    EDAddBusinessesSchemaUpgradeStep
    EDAddCategorizationStateUpgradeStep
    EDAddDisplayDateColumnUpgradeStep
    EDAddDownloadStateToMessageGlobalDataUpgradeStep
    EDAddFollowUpJsonStringForModelEvaluationForSuggestionsColumnUpgradeStep
    EDAddFrecencyAndServerMetadataUpgradeStep
    EDAddGeneratedSummaryUpgradeStep
    EDAddIndexingAnalyticsItemStartedAtIndexUpgradeStep
    EDAddIndexingAnalyticsTablesUpgradeStep
    EDAddIsUrgentColumnUpgradeStep
    EDAddMailboxDatabaseIDColumnToMailboxActionsDataUpgradeStep
    EDAddMailboxSyncInfoUpgradeStep
    EDAddMessageIDHeaderUpgradeStep
    EDAddMessagesBrandIndicatorColumnUpgradeStep
    EDAddMessagesDeletedDateReceivedIndexUpgradeStep
    EDAddMessagesFollowUpColumnUpgradeStep
    EDAddMessagesIsUrgentIndexUpgradeStep
    EDAddMessagesSearchableMessageColumnUpgradeStep
    EDAddMessagesValidationStateUpgradeStep
    EDAddReadLaterTableUpgradeStep
    EDAddRebuildTableUpgradeStep
    EDAddRemoteContentLinksTableUpgradeStep
    EDAddRichLinkTableUpgradeStep
    EDAddSearchableDataDetectionResultsTableUpgradeStep
    EDAddSendLaterTableUpgradeStep
    EDAddSenderCategoryColumnUpgradeStep
    EDAddSendersTableUpgradeStep
    EDAddThreadTablesUpgradeStep
    EDAddiCloudCleanupColumnUpgradeStep
    EDBusinessCommonPrefixGroupingUpgradeStep
    EDCleanModelResultColumnsUpgradeStep
    EDDonateGenericAttributesForAppIntentsUpgradeStep
    EDDropMessagesReadIndexUpgradeStep
    EDExistingMessageWithMessageIDHeader
    EDForceRecategorizationUpgradeStep
    EDMailMessageEntityIDIntegerProtectionUpgradeStep
    EDMessageGlobalDataBlackPearlUpgradeStep
    EDMigrateBlockedSenderEnabledToBlockedSenderActionEnumUpgradeStep
    EDMigrateCategoryTypeUpgradeStep
    EDMigrateServerMetadataFromPListUpgradeStep
    EDMigrateUserDefaultsUpgradeStep
    EDRemoveRebuildTableUpgradeStep
    EDRemoveUnusedSchemaTableUpgradeStep
    EDRenameThreadsTableUpgradeStep
    EDSearchableMessagesIndexReindexTypeUpgradeStep
    EDSkyAddMessageAttachmentsAndMigrateAttachmentsTableUpgradeStep
    EDSubjectTokenizer
    EDTruncateMailboxUpgradeStep
    EDUpdateOthersCategoryTypeUpgradeStep
    EFCancelationToken
    EFDeallocInvocationToken
    EFInvocationToken
    EFManualCancelationToken
    EFNetworkDomainUtilities
    EFNetworkStatus
    EFPriorityDesignator
    EKDuetSignalEventSerializer
    EKEventDetailTextCellHeader
    EKEventFetchRequestToken
    EKMapSearchCompletionResolverRequest
    EKNullFetchRequestToken
    EKReminderFetchRequestToken
    EKRequestAvailabilityOperation
    EKSequenceToken
    EKSubscribedCalendarDescriptionHeader
    EKUICalendarListViewHeader
    EKUICalendarListViewHeaderContentView
    EKUIListViewHeader
    EKUIOverlayCalendarSignificantDatesProvider
    EKUITextAndHeaderItem
    EMContentRequestOptions
    EMDaemonInterfaceRequest
    EMFEmojiToken
    EMFQueryUntokenized
    EMHMERecipientCreationRequest
    EMMessageHeaders
    EMMessageSigner
    EMSuppressNotAuthenticatedAction
    EMTAlignmentProcessorToken
    EMTToken
    EMTTokenizer
    ENRemotePresentationRequest
    ENSignature
    ENSignatureFile
    EXAuditToken
    EXExtensionRequest
    EXPSiriSchemaEXPClientSiriRequestExperimentTriggeredTier1
    EmojiSectionHeaderLayoutInvalidationContext
    EndSessionRequestParameters
    EspressoFDOverfeatNetwork
    EspressoNetwork
    EspressoProfilingNetworkANEInfo
    EspressoProfilingNetworkInfo
    EventAndSignal
    ExecutorSiriSchemaExecutorRequestCanceled
    ExecutorSiriSchemaExecutorRequestContext
    ExecutorSiriSchemaExecutorRequestEnded
    ExecutorSiriSchemaExecutorRequestFailed
    ExecutorSiriSchemaExecutorRequestStarted
    FAAgeRangeRequestModel
    FACancelInvitationRequest
    FAChildAccountCutOffAgeRequest
    FAClearFamilyCircleCacheRequest
    FAClearPhotoCacheRequest
    FADeleteFamilyRequest
    FAEligiblityEvaluationRequest
    FAEnableScreenTimeSettingsRequest
    FAFamilyCircleRequest
    FAFamilyMemberPhotoRequest
    FAFetchFamilyCircleRequest
    FAFetchFamilyPhotoRequest
    FAFetchFollowupRequest
    FAFetchScreenTimeSettingsCacheRequest
    FAHandleFamilyEventPushNotificationRequest
    FAHeartbeatRequest
    FAInviteFollowUpTestRequest
    FALaunchOutOfProcessRequest
    FAMemberPhotoRequest404Cache
    FAParentalControlsRequest
    FARegisterPushTokenRequest
    FARemoveFamilyMemberRequest
    FARequestCoalescer
    FARequestConfigurator
    FARequestEphemeralSigner
    FASaveScreenTimeSettingsCacheRequest
    FAScreenTimeRequestProvider
    FASettingAccountRestrictionsRequest
    FASettingProtoAccountRestrictionsRequest
    FASettingsPresetsRequest
    FAUpdateFamilyInviteStatusRequest
    FAUpdateFamilyMemberFlagRequest
    FAUpdateFamilyMemberFlagsRequest
    FBKAnnotatedFileBrowserTableViewController
    FBKBoxedRequest
    FBKFilerToken
    FBKRequestRecord
    FBKRequestRecordWrapper
    FBKRequestsLog
    FBKSAnnotatedContentObjc
    FBKSDeviceToken
    FBSALOToken
    FBSDataResetRequest
    FBSDisplayConfigurationRequest
    FBSLegacySignatureValidationService
    FBSMutableDisplayConfigurationRequest
    FBSProcessTerminationRequest
    FBSSceneIdentityToken
    FBSSceneSnapshotAction
    FBSSceneSnapshotRequest
    FBSSceneSnapshotRequestAction
    FBSSceneSnapshotRequestHandle
    FBSSignatureValidationService
    FBSWorkspaceSceneRequestOptions
    FBSceneSnapshotAction
    FBSystemServiceOpenApplicationRequest
    FBWorkspaceSceneRequest
    FCANEFHeader
    FCAVAssetKeyFetchRequest
    FCAppReviewRequestConfig
    FCAssetHandleDownloadRequest
    FCBiomeSignalProvider
    FCCKAESSIVRecordNameCipher
    FCCKDirectRequestOperation
    FCCKDirectRequestOperationURLCache
    FCCKFeedRequest
    FCCKOrderFeedRequest
    FCCKPrivateDatabaseServerChangeToken
    FCCKTestRecordNameCipher
    FCEmailSignupConfig
    FCFeedInsertionToken
    FCFeedPrewarmRequest
    FCFeedRequest
    FCFeedRequestOperation
    FCFileAccessToken
    FCGetWebTokenOperation
    FCHideMyEmailSignupConfig
    FCInterestToken
    FCMescalSignature
    FCMultiNetworkBehaviorMonitor
    FCMyArticlesRequest
    FCNetworkActivity
    FCNetworkBehaviorMonitor
    FCNetworkEvent
    FCNetworkEventGroupKey
    FCNetworkEventStats
    FCNetworkOperation
    FCNetworkReachability
    FCNetworkSession
    FCOperationDelayedRetrySignal
    FCOperationExternalSignal
    FCOperationImmediateRetrySignal
    FCOperationNotificationRetrySignal
    FCPingBasedOnlineNetworkTransitionMonitor
    FCRegisterDeviceTokenCommand
    FCSimulatorSearchAPITokenProvider
    FCSupportedCountryNetworkReachabilityRequirement
    FCTagSubscriptionOrderAssigner
    FCTelemetryBasedOfflineNetworkTransitionMonitor
    FCTelemetryBasedOfflineNetworkTransitionOperation
    FCTodayFeedConfigRequest
    FCURLRequest
    FCURLRequestScheduler
    FIDSNode_NetworkNearby
    FIDSNode_NetworkSidebar
    FIRCLSDataCollectionToken
    FIRCLSFABNetworkClient
    FIRCLSNetworkOperation
    FIRCLSNetworkResponseHandler
    FIRInstallationsAuthTokenResult
    FIRInstallationsIIDTokenInfo
    FIRInstallationsIIDTokenStore
    FIRInstallationsStoredAuthToken
    FIRMessagingTokenDeleteOperation
    FIRMessagingTokenFetchOperation
    FIRMessagingTokenInfo
    FIRMessagingTokenManager
    FIRMessagingTokenOperation
    FIRMessagingTokenStore
    FKBackgroundRefreshConfirmationPromptToken
    FLOWSchemaFLOWHomeAutomationRequest
    FLOWSchemaFLOWHomeAutomationRequestMetadata
    FMCancelationToken
    FMDCommandValidationSignatureRequestContext
    FMDIdentitySigningRequest
    FMDPairingCheckCommandRequestInfo
    FMDPairingLockRegisterRequestInfo
    FMDPairingLockUpdateRequestInfo
    FMTokenBucket
    FPActionLocatorAccessToken
    FPSearchOnServerRequestDescriptor
    FTCinematicTapRequest
    FTNetworkDescriptor
    FTNetworkSupport
    FTURLRequestMessage
    FWFNSUrlRequestData
    FamilyCircle.FABuildInviteRequest
    FamilyCircle.FAFamilyChecklistRankingConfigRequest
    FamilyCircle.SignificantChangeAckExtensionContext
    FeedbackCore.FBKAttachmentAnnotation
    FeedbackCore.FBKTableSectionHeaderView
    FetchRequest
    FetchRequestPropertiesDescriptor
    FigCaptureDeferredPhotoProcessorRequest
    FigHTTPRequestSessionDataDelegate
    FigNetworkWirelessReportingInterface
    FigPWDKeyExchangeSenderServerHelperProd
    FigPWDKeyExchangeSenderTelementryHelper
    FinanceKit.ApplePayMerchantTokenUsageInformationPackage
    FinanceKit.AuditTokenWrapper
    FinanceKit.LastTokenManager
    FinanceKit.ManagedAnnotation
    FinanceKit.ManagedApplePayMerchantTokenAutomaticReloadPaymentDetails
    FinanceKit.ManagedApplePayMerchantTokenDeferredPaymentDetails
    FinanceKit.ManagedApplePayMerchantTokenMetadata
    FinanceKit.ManagedApplePayMerchantTokenPastPayment
    FinanceKit.ManagedApplePayMerchantTokenPastPaymentLineItem
    FinanceKit.ManagedApplePayMerchantTokenPastPaymentSummaryItem
    FinanceKit.ManagedApplePayMerchantTokenRecurringPaymentDetails
    FinanceKit.ManagedApplePayMerchantTokenResource
    FinanceKit.ManagedApplePayMerchantTokenScheduledPayment
    FinanceKit.ManagedApplePayMerchantTokenUpcomingPayment
    FinanceKit.ManagedApplePayMerchantTokenUsageInformation
    FinanceKit.ManagedApplePayMerchantTokenUsageInformationPackage
    FinanceKit.ManagedApplePayMerchantTokenUsageMetadata
    FinanceKit.ManagedLabRequest
    FinanceKit.ManagedMapsLookupRequest
    FinanceKit.ManagedNetworkRequestEvent
    FinanceKit.ManagedNetworkResponseEvent
    FinanceKit.NetworkEventRecorder
    FinanceKit.SendableNSPersistentHistoryToken
    FindMyBase.TokenBucket
    FindMyLocate.LocationShiftingRequest
    FirebaseSessions.NetworkInfo
    FlutterTokenizer
    GATSchemaGATGenerativeRequestContext
    GATSchemaGATGenerativeRequestEventEnded
    GATSchemaGATGenerativeRequestEventFailed
    GATSchemaGATGenerativeRequestEventStarted
    GATSchemaGATRequestCanceled
    GATSchemaGATRequestContext
    GATSchemaGATRequestEnded
    GATSchemaGATRequestFailed
    GATSchemaGATRequestHandoff
    GATSchemaGATRequestStarted
    GCCCreateRelaycastSessionRequest
    GCCGetRelaycastDiscoveredDevicesRequest
    GCCIsRelaycastSupportedRequest
    GCKAdBreakClipVastAdsRequest
    GCKBroadcastKeyExchangeChannel
    GCKBroadcastKeyPair
    GCKCryptoUtils
    GCKDBNetworkAddress
    GCKDBNetworkInfo
    GCKGuestModeCreateSessionRequest
    GCKGuestModeQueryAppPublishedStatusRequest
    GCKGuestModeServerRequest
    GCKGuestModeToggleAudioRequest
    GCKLaunchRequestTracker
    GCKMediaLoadRequestData
    GCKMediaLoadRequestDataBuilder
    GCKMediaRequestItem
    GCKMessageEncryptor
    GCKNHTTPRequest
    GCKNHTTPRequestMap
    GCKNLocalNetworkPermissionStatus
    GCKNNetworkAddress
    GCKNNetworkInterface
    GCKNNetworkReachability
    GCKNNetworkUtils
    GCKNetworkAddress
    GCKNetworkUtils
    GCKOCCreateSessionRequest
    GCKOCFindDevicesRequest
    GCKOCSendMessageRequest
    GCKOCVisibleBleToken
    GCKProberSchedulerRequest
    GCKRelayAccessTokenHelper
    GCKRequest
    GCKRequestTracker
    GCKUILocalNetworkInformationAlertViewModel
    GCKVASTAdsRequest
    GCREWrapKeyRequest
    GEOABAssignmentRequest
    GEOABAssignmentResponse
    GEOABExperimentAssignment
    GEOABSecondPartyPlaceRequestClientMetaData
    GEOAPNetworkSelectionHarvestReporter
    GEOAbAssignInfo
    GEOAbstractOfflineTileRequester
    GEOAbstractRequestResponseTicket
    GEOAddressCorrectionInitRequest
    GEOAddressCorrectionRequester
    GEOAddressCorrectionTaggedLocationRequest
    GEOAddressCorrectionUpdateRequest
    GEOAnnotatedItemList
    GEOApplicationAuditToken
    GEOBatchRevGeocodeRequest
    GEOBatchTileRequester
    GEOBatchTileRequesterOpportunisticAdapter
    GEOBusinessResolutionRequest
    GEOChargingNetworkInfo
    GEOClientNetworkMetrics
    GEOClientNetworkTransactionMetrics
    GEOClientRequestInfo
    GEOComposedRouteAnnotation
    GEOComposedStringTokenReplacementOptions
    GEOComposedStringTokenReplacementResult
    GEOComposedTrafficSignal
    GEOConfigAddChangeListenerRequest
    GEOConfigClearExpiredKeyRequest
    GEOConfigGetAllValueInStoreRequest
    GEOConfigGetCompanionSyncValuesForKeysRequest
    GEOConfigGetExpiringKeysRequest
    GEOConfigMigrateEntitledKeyRequest
    GEOConfigRemoveChangeListenerRequest
    GEOConfigSetAllValueInStoreRequest
    GEOConfigSetExpiringKeyRequest
    GEOConfigStorageGetValueForKeyRequest
    GEOConfigStorageSetValueForKeyRequest
    GEOContourLinesSimpleTileRequester
    GEOCountryConfigFetchGeoIPRequest
    GEOCountryConfigUpdateRequest
    GEODataRequest
    GEODataRequestThrottler
    GEODataRequestThrottlerToken
    GEODirectionsCollectionRequest
    GEODirectionsRequest
    GEODirectionsRequestFeedback
    GEODirectionsRequestResponseAnalyticsData
    GEODirectionsRequester
    GEODirectionsRequesterRemoteProxy
    GEODirectionsServiceRequest
    GEODirectionsServiceRequestBuilder
    GEODirectionsServiceRequestBuilderResult
    GEODirectionsServiceRequestParameters
    GEODisplayHeaderSubstitute
    GEOETARequest
    GEOETARequestExtension
    GEOETARequestSimple
    GEOETARequestUpdateable
    GEOETARequester
    GEOETATrafficUpdateRequest
    GEOETATrafficUpdateRequestExtension
    GEOETATrafficUpdateRequester
    GEOETAUpdateableWillSendRequest
    GEOExperimentFetchBucketIDRequest
    GEOExternalRequestCounterCountReply
    GEOExternalRequestCounterCountRequest
    GEOExternalRequestCounterIncrementRequest
    GEOExternalRequestCounterInfo
    GEOExternalRequestCounterTicketBase
    GEOExternalTileRequest
    GEOFeatureSpecificSimpleTileRequester
    GEOFollowUpRequestMetadata
    GEOGeocodeRequestConfig
    GEOGeocodeRequester
    GEOGeographicMetadataRequester
    GEOGloriaQuadIDTileRequester
    GEOHeaderButtonModuleConfiguration
    GEOIdentifiedMapDataRequester
    GEOImageServiceCalculateFreeableSizeRequest
    GEOImageServicePurgeCacheToSizeRequest
    GEOImageServiceRequest
    GEOImageServiceRequestSimple
    GEOImageServiceRequester
